surface,ranking,player_name,matches_played,match_record,match_win_pct,service_points_won,service_points_won_in_play,total_aces,ace_pct,double_faults,double_fault_pct,double_fault_per_second_serve,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,second_serve_win_pct_in_play,service_hold_pct,points_per_service_game,points_lost_per_service_game
grass,9,Daniil Medvedev [RUS],7,5-2,71.40%,70.40%,69.80%,68,13.70%,25,5.00%,14.90%,66.20%,79.00%,53.60%,62.90%,96.20%,6.3,1.9
grass,10,Ben Shelton [USA],5,2-3,40.00%,69.00%,65.80%,76,19.90%,21,5.50%,14.70%,62.50%,78.20%,53.80%,63.10%,94.70%,6.7,2.1
grass,11,Alex De Minaur [AUS],1,0-1,0.00%,57.10%,56.40%,5,7.90%,3,4.80%,10.30%,54.00%,67.60%,44.80%,50.00%,66.70%,7,3
grass,12,Frances Tiafoe [USA],1,0-1,0.00%,53.80%,50.00%,8,12.30%,3,4.60%,9.10%,49.20%,65.60%,42.40%,46.70%,60.00%,6.5,3
grass,13,Tommy Paul [USA],1,0-1,0.00%,58.80%,58.00%,6,6.20%,3,3.10%,6.80%,54.60%,71.70%,43.20%,46.30%,71.40%,6.9,2.9
grass,14,Andrey Rublev [RUS],2,1-1,50.00%,67.60%,66.20%,25,14.70%,9,5.30%,11.50%,54.10%,85.90%,46.20%,52.20%,81.50%,6.3,2
grass,17,Jakub Mensik [CZE],5,2-3,40.00%,62.70%,59.80%,57,14.30%,19,4.80%,11.70%,59.10%,72.00%,49.10%,55.60%,79.70%,6.8,2.5
grass,18,Ugo Humbert [FRA],7,4-3,57.10%,67.30%,67.80%,33,6.60%,19,3.80%,9.80%,61.60%,73.80%,57.00%,63.20%,84.10%,6.1,2
grass,19,Francisco Cerundolo [ARG],1,0-1,0.00%,64.60%,62.90%,6,6.30%,1,1.00%,2.60%,59.40%,73.70%,51.30%,52.60%,80.00%,6.4,2.3
grass,20,Karen Khachanov [RUS],6,4-2,66.70%,70.60%,68.90%,48,10.80%,11,2.50%,6.60%,62.70%,77.80%,58.40%,62.60%,89.50%,5.9,1.7
grass,22,Alexei Popyrin [AUS],3,1-2,33.30%,62.70%,61.20%,33,9.90%,13,3.90%,10.00%,61.20%,72.20%,47.70%,53.00%,78.70%,7.1,2.7
grass,23,Tomas Machac [CZE],3,2-1,66.70%,64.70%,62.90%,20,9.80%,6,2.90%,7.00%,57.80%,73.70%,52.30%,56.30%,79.40%,6,2.1
grass,24,Flavio Cobolli [ITA],4,2-2,50.00%,62.20%,61.80%,21,5.50%,10,2.60%,6.70%,61.20%,69.80%,50.30%,54.00%,77.80%,7.1,2.7
grass,25,Jiri Lehecka [CZE],8,6-2,75.00%,71.80%,69.70%,76,14.90%,18,3.50%,9.10%,61.40%,81.80%,55.80%,61.50%,92.30%,5.6,1.6
grass,26,Stefanos Tsitsipas [GRE],2,1-1,50.00%,68.40%,67.80%,18,10.30%,7,4.00%,10.10%,60.30%,75.20%,58.00%,64.50%,88.90%,6.4,2
grass,27,Alejandro Davidovich Fokina [ESP],4,3-1,75.00%,68.30%,70.00%,14,4.40%,14,4.40%,12.20%,63.50%,75.00%,56.50%,64.40%,89.80%,6.4,2
grass,28,Felix Auger Aliassime [CAN],8,5-3,62.50%,73.40%,70.10%,95,18.30%,16,3.10%,9.00%,65.70%,82.10%,56.70%,62.30%,89.20%,5.6,1.5
grass,29,Tallon Griekspoor [NED],4,4-0,100.00%,70.70%,70.30%,20,7.30%,7,2.60%,7.60%,66.30%,76.80%,58.70%,63.50%,97.70%,6.3,1.9
grass,30,Denis Shapovalov [CAN],3,1-2,33.30%,58.60%,60.20%,20,6.90%,21,7.20%,17.50%,58.60%,63.50%,51.70%,62.60%,75.60%,6.4,2.7
grass,31,Alexander Bublik [KAZ],5,5-0,100.00%,72.80%,70.70%,76,20.10%,20,5.30%,15.50%,66.00%,80.80%,57.40%,67.90%,95.10%,6.2,1.7
grass,32,Alex Michelsen [USA],12,8-4,66.70%,66.40%,66.20%,52,6.20%,24,2.90%,8.50%,66.30%,72.40%,54.60%,59.70%,85.30%,6.1,2.1
grass,34,Brandon Nakashima [USA],8,5-3,62.50%,70.10%,68.20%,58,9.40%,10,1.60%,5.00%,67.40%,74.90%,60.20%,63.40%,88.10%,6.1,1.8
grass,36,Giovanni Mpetshi Perricard [FRA],3,1-2,33.30%,68.60%,64.80%,57,18.60%,13,4.20%,12.70%,66.70%,79.90%,46.10%,52.80%,83.70%,7.1,2.2
grass,37,Nuno Borges [POR],5,2-3,40.00%,65.20%,61.50%,43,11.80%,5,1.40%,4.40%,69.00%,70.20%,54.00%,56.50%,78.00%,6.2,2.2
grass,39,Hubert Hurkacz [POL],1,1-0,100.00%,78.80%,75.00%,16,24.20%,2,3.00%,9.50%,68.20%,88.90%,57.10%,63.20%,100.00%,6,1.3
grass,40,Gabriel Diallo [CAN],11,8-3,72.70%,69.20%,66.60%,110,13.50%,23,2.80%,8.20%,65.30%,76.10%,56.40%,61.40%,90.70%,6.3,1.9
grass,41,Alexandre Muller [FRA],2,0-2,0.00%,62.60%,61.80%,11,7.90%,5,3.60%,9.80%,63.30%,71.60%,47.10%,52.20%,77.30%,6.3,2.4
grass,42,Roberto Bautista Agut [ESP],8,5-3,62.50%,68.60%,67.70%,28,4.40%,5,0.80%,3.00%,73.20%,72.90%,56.80%,58.50%,87.50%,6.1,1.9
grass,43,Matteo Arnaldi [ITA],1,0-1,0.00%,61.50%,62.70%,3,4.60%,3,4.60%,11.10%,58.50%,68.40%,51.90%,58.30%,80.00%,6.5,2.5
grass,44,Jordan Thompson [AUS],3,1-2,33.30%,70.70%,69.40%,16,9.80%,4,2.40%,5.90%,58.50%,77.10%,61.80%,65.60%,86.70%,5.5,1.6
grass,45,Marcos Giron [USA],8,6-2,75.00%,63.70%,62.90%,39,6.30%,15,2.40%,5.80%,58.20%,73.20%,50.40%,53.50%,82.50%,6.4,2.3
grass,46,Quentin Halys [FRA],5,2-3,40.00%,67.10%,65.80%,49,14.80%,19,5.70%,14.00%,58.90%,80.50%,47.80%,55.60%,83.90%,5.9,1.9
grass,47,Lorenzo Sonego [ITA],5,2-3,40.00%,68.80%,69.70%,14,3.80%,11,3.00%,10.30%,71.20%,74.30%,55.10%,61.50%,90.30%,6,1.9
grass,48,Gael Monfils [FRA],2,0-2,0.00%,60.10%,61.30%,19,12.40%,15,9.80%,25.00%,60.80%,72.00%,41.70%,55.60%,75.00%,6.4,2.5
grass,49,Miomir Kecmanovic [SRB],2,0-2,0.00%,63.30%,64.10%,10,5.00%,8,4.00%,12.90%,68.80%,69.30%,50.00%,57.40%,80.00%,6.6,2.4
grass,50,Zizou Bergs [BEL],7,4-3,57.10%,61.50%,63.20%,52,8.00%,48,7.40%,16.20%,54.60%,71.30%,49.70%,59.30%,78.20%,7.5,2.9
