surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,325,Daniel Milavsky,27,42.24%,68,161,0.56,2.6,5.96,1.1,2.52,64.84%,118,182,0.65,2.94,6.74,1.03,2.37
all,207,Daniel Rincon,48,46.36%,159,343,0.63,3.01,7.15,1.39,3.31,57.10%,213,373,0.7,3.27,7.77,1.4,3.33
all,167,Daniil Glinka,56,38.55%,138,358,0.57,2.75,6.39,1.06,2.46,64.01%,217,339,0.54,2.61,6.05,0.94,2.18
all,6,Daniil Medvedev,60,41.72%,204,489,0.68,3.24,8.15,1.35,3.4,62.90%,195,310,0.43,2.05,5.17,0.76,1.92
all,675,Daniil Ostapenkov,6,30.95%,13,42,0.54,2.8,7,0.87,2.17,38.46%,10,26,0.34,1.73,4.33,1.07,2.67
all,226,Darwin Blanch,51,38.75%,124,320,0.52,2.52,6.27,0.98,2.43,61.86%,206,333,0.54,2.62,6.53,1,2.49
all,236,David Goffin,14,34.48%,40,116,0.71,3.31,8.29,1.14,2.86,43.48%,40,92,0.57,2.63,6.57,1.49,3.71
all,188,David Jorda Sanchis,42,41.20%,124,301,0.64,3.04,7.17,1.25,2.95,60.85%,171,281,0.6,2.84,6.69,1.11,2.62
all,58,Denis Shapovalov,40,37.97%,112,295,0.61,2.89,7.38,1.1,2.8,57.89%,165,285,0.59,2.79,7.12,1.18,3
all,441,Denis Yevseyev,29,37.45%,88,235,0.72,3.31,8.1,1.24,3.03,54.62%,130,238,0.73,3.35,8.21,1.52,3.72
all,463,Dennis Novak,6,44.19%,19,43,0.63,2.87,7.17,1.27,3.17,24.32%,9,37,0.54,2.47,6.17,1.87,4.67
all,436,Dhakshineswar Suresh,20,37.50%,30,80,0.37,1.78,4,0.67,1.5,69.44%,75,108,0.49,2.4,5.4,0.73,1.65
all,252,Diego Dedura,42,43.27%,135,312,0.69,3.22,7.43,1.39,3.21,60.14%,175,291,0.63,3,6.93,1.2,2.76
all,551,Digvijaypratap Singh,8,27.59%,8,29,0.33,1.71,3.62,0.47,1,57.50%,23,40,0.47,2.35,5,1,2.12
all,375,Dimitar Kuzmanov,49,45.11%,157,348,0.67,3.05,7.1,1.38,3.2,55.50%,207,373,0.71,3.27,7.61,1.46,3.39
all,84,Dino Prizmic,34,39.64%,88,222,0.55,2.39,6.53,0.95,2.59,62.30%,119,191,0.45,2.05,5.62,0.77,2.12
all,652,Dmitry Popko,17,38.53%,42,109,0.6,2.79,6.41,1.08,2.47,55.56%,60,108,0.6,2.77,6.35,1.23,2.82
